구별,동,인구수_계,인구수_남,인구수_여,19세 이상_계,19세 이상_남,19세 이상_여,65세 이상_계,65세 이상_남자,65세 이상_여자,세대수,재외국민,데이터기준일자
수정구,신흥1동         ,12955,6832,6123,12012,6350,5662,2790,1182,1608,7854,15,2023-07-31
수정구,신흥2동         ,19843,9637,10206,16890,8158,8732,3146,1445,1701,7628,33,2023-07-31
수정구,신흥3동         ,11034,5905,5129,10215,5489,4726,2304,1060,1244,6490,9,2023-07-31
수정구,태평1동         ,14705,7637,7068,13751,7147,6604,3344,1479,1865,8648,23,2023-07-31
수정구,태평2동         ,14685,7397,7288,13318,6708,6610,3031,1284,1747,7852,20,2023-07-31
수정구,태평3동         ,12702,6562,6140,11569,5991,5578,2719,1187,1532,6796,17,2023-07-31
수정구,태평4동         ,12342,6306,6036,11032,5629,5403,2441,1045,1396,6421,12,2023-07-31
수정구,수진1동         ,11772,6195,5577,11038,5812,5226,2920,1279,1641,7089,12,2023-07-31
수정구,수진2동         ,15269,7748,7521,13869,7039,6830,3524,1612,1912,7747,33,2023-07-31
수정구,단대동          ,14924,7312,7612,13051,6357,6694,2889,1233,1656,6589,24,2023-07-31
수정구,산성동          ,4876,2459,2417,4249,2130,2119,1043,456,587,2249,20,2023-07-31
수정구,양지동          ,9494,4707,4787,8404,4156,4248,1955,845,1110,4329,7,2023-07-31
수정구,복정동          ,10544,5906,4638,9657,5440,4217,1217,590,627,6664,25,2023-07-31
수정구,위례동          ,45748,22269,23479,36802,17829,18973,5900,2781,3119,18299,118,2023-07-31
수정구,신촌동          ,4556,2434,2122,3710,2013,1697,530,245,285,2023,12,2023-07-31
수정구,고등동          ,11840,5842,5998,9783,4801,4982,1560,694,866,5197,27,2023-07-31
수정구,시흥동          ,3410,1793,1617,3155,1665,1490,624,296,328,2004,13,2023-07-31
중원구,성남동          ,32808,17174,15634,30066,15802,14264,6249,2883,3366,18380,47,2023-07-31
중원구,중앙동          ,17019,8719,8300,14549,7465,7084,2880,1311,1569,7745,15,2023-07-31
중원구,금광1동         ,19448,9652,9796,16270,8052,8218,2411,1111,1300,8219,16,2023-07-31
중원구,금광2동         ,24978,12341,12637,22269,10977,11292,4794,2145,2649,12331,44,2023-07-31
중원구,은행1동         ,9899,4861,5038,8637,4205,4432,1706,750,956,4484,5,2023-07-31
중원구,은행2동         ,22617,11179,11438,20299,9977,10322,4725,2003,2722,10968,37,2023-07-31
중원구,상대원1동       ,24651,12826,11825,21949,11446,10503,4703,2148,2555,12164,24,2023-07-31
중원구,상대원2동       ,3410,1795,1615,3096,1641,1455,700,324,376,1828,9,2023-07-31
중원구,상대원3동       ,12008,6282,5726,10931,5741,5190,2630,1202,1428,6547,11,2023-07-31
중원구,하대원동        ,19809,9993,9816,17289,8684,8605,3561,1667,1894,8195,30,2023-07-31
중원구,도촌동          ,26824,13006,13818,21995,10511,11484,3999,1777,2222,10824,39,2023-07-31
분당구,분당동          ,25134,12334,12800,21001,10206,10795,3840,1795,2045,10192,89,2023-07-31
분당구,수내1동         ,17875,8474,9401,14748,6881,7867,2484,1029,1455,7811,122,2023-07-31
분당구,수내2동         ,10365,5048,5317,7508,3643,3865,1172,519,653,3170,41,2023-07-31
분당구,수내3동         ,13503,6737,6766,10554,5210,5344,1361,607,754,5191,26,2023-07-31
분당구,정자동          ,16043,8104,7939,13752,6913,6839,2386,1125,1261,7119,66,2023-07-31
분당구,정자1동         ,30213,14267,15946,25520,11932,13588,4035,1879,2156,13984,303,2023-07-31
분당구,정자2동         ,14712,6979,7733,12919,6001,6918,2649,1019,1630,7391,57,2023-07-31
분당구,정자3동         ,16946,8181,8765,13801,6596,7205,2261,981,1280,6665,67,2023-07-31
분당구,서현1동         ,31075,15069,16006,25350,12164,13186,4054,1826,2228,12611,161,2023-07-31
분당구,서현2동         ,17838,8797,9041,14757,7187,7570,2405,1105,1300,6617,65,2023-07-31
분당구,이매1동         ,24903,12181,12722,20293,9803,10490,3526,1637,1889,8986,89,2023-07-31
분당구,이매2동         ,13206,6427,6779,10800,5185,5615,2209,1059,1150,4459,53,2023-07-31
분당구,야탑1동         ,16935,8389,8546,14739,7260,7479,2990,1394,1596,7599,61,2023-07-31
분당구,야탑2동         ,15912,7530,8382,13349,6260,7089,3187,1463,1724,6049,80,2023-07-31
분당구,야탑3동         ,27174,13430,13744,23762,11687,12075,4736,2070,2666,12717,64,2023-07-31
분당구,금곡동,27235,12826,14409,23633,10984,12649,5192,2238,2954,12108,149,2023-07-31
분당구,구미동,28828,13661,15167,24926,11698,13228,5445,2349,3096,12597,156,2023-07-31
분당구,구미1동,16665,8080,8585,14286,6899,7387,2485,1120,1365,7152,86,2023-07-31
분당구,판교동          ,26450,12977,13473,20193,9732,10461,2649,1274,1375,9008,92,2023-07-31
분당구,삼평동          ,24096,11640,12456,19248,9184,10064,2778,1256,1522,9090,56,2023-07-31
분당구,백현동          ,26849,12919,13930,22064,10421,11643,3381,1513,1868,10389,86,2023-07-31
분당구,운중동          ,33644,16421,17223,26557,12795,13762,3584,1764,1820,12139,166,2023-07-31
