"동별(1)",동별(2),2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4
"동별(1)",동별(2),세대 (세대),계 (명),한국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명),세대 (세대),계 (명),한국인 (명),등록외국인 (명),인구밀도
"합계",소계,4463385,9668008,9426404,241604,2.11,1690961,4469158,9659322,9414093,245229,2
"합계",종로구,72679,152212,141060,11152,1.94,28265,72507,151349,140397,10952,2
"합계",중구,63862,131390,120963,10427,1.89,25353,64375,132054,121441,10613,2
"합계",용산구,109735,232482,217756,14726,1.98,39478,109679,232069,217288,14781,2
"합계",성동구,133513,287240,280240,7000,2.10,48238,133484,286564,279374,7190,2
"합계",광진구,169787,350925,336801,14124,1.98,54854,169857,350820,336169,14651,2
"합계",동대문구,171140,354884,337574,17310,1.97,65154,171703,355667,338115,17552,2
"합계",중랑구,187898,389928,385003,4925,2.05,76116,187981,389316,384272,5044,2
"합계",성북구,197859,441855,430100,11755,2.17,78427,197831,441065,429142,11923,2
"합계",강북구,144557,296934,292762,4172,2.03,67056,144447,295773,291384,4389,2
"합계",도봉구,138376,312858,310509,2349,2.24,68114,138188,311386,308986,2400,2
"합계",노원구,218341,506989,502515,4474,2.30,93279,217858,504641,500104,4537,2
"합계",은평구,213989,468766,464871,3895,2.17,90556,213827,467295,463298,3997,2
"합계",서대문구,147146,321966,308437,13529,2.10,56785,147226,321726,308122,13604,2
"합계",마포구,181034,376542,365570,10972,2.02,56582,181097,376285,365111,11174,2
"합계",양천구,181072,442345,439219,3126,2.43,73522,181210,441517,438353,3164,2
"합계",강서구,274283,573711,568287,5424,2.07,98659,274521,572382,566839,5543,2
"합계",구로구,184268,417983,395183,22800,2.14,77259,184546,417774,394833,22941,2
"합계",금천구,120051,242467,229307,13160,1.91,43772,120578,242567,229235,13332,2
"합계",영등포구,190252,398999,376614,22385,1.98,66014,190482,398842,376139,22703,2
"합계",동작구,186534,390377,380201,10176,2.04,68766,187058,390843,380622,10221,2
"합계",관악구,285914,502628,487815,14813,1.71,83420,286647,502430,487192,15238,2
"합계",서초구,168234,408979,404831,4148,2.41,63328,168590,408753,404484,4269,2
"합계",강남구,234735,537817,532798,5019,2.27,83097,236935,542327,537139,5188,2
"합계",송파구,285489,663704,658006,5698,2.30,105161,285798,662872,657101,5771,2
"합계",강동구,202637,464027,459982,4045,2.27,79706,202733,463005,458953,4052,2
