,구분,2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년,2023년
1,종로구,935,"1,066","1,225","1,322","1,338","1,526",1573,1812,"1,808"
2,중구,363,565,838,"1,174","1,234","1,482",1911,2026,"2,026"
3,용산구,"1,398","1,689","1,831","1,888","1,986","2,131",2321,2531,"2,647"
4,성동구,"1,089","1,328","2,103","2,390","2,697","3,162",3519,3627,"3,643"
5,광진구,638,657,"1,112","1,586","2,233","2,375",3111,3370,"3,359"
6,동대문구,"1,202","1,425","1,535","1,775","1,969","2,142",2471,2592,"2,592"
7,중랑구,751,898,"1,047","1,203","2,250","3,165",3592,3856,"3,856"
8,성북구,"1,035","1,534","1,940","2,542","2,895","3,081",3815,4014,"4,129"
9,강북구,608,840,841,"1,159","1,656","2,337",2960,3184,"3,184"
10,도봉구,345,443,542,679,835,979,1684,1994,"2,120"
11,노원구,956,"1,268","1,433","1,577","1,763","2,021",2171,2284,"2,281"
12,은평구,"1,719","2,075","2,310","2,669","3,164","3,431",3822,4103,"4,103"
13,서대문구,952,"1,179","1,525","1,764","2,100","2,499",2591,2928,"3,006"
14,마포구,623,970,"1,328","1,703","2,011","2,268",2372,2500,"2,500"
15,양천구,"1,898","2,026","2,367","2,655","2,928","3,136",3393,3627,"3,609"
16,강서구,801,960,"1,164","1,386","1,858","2,346",2637,3151,"3,209"
17,구로구,"1,407","1,719","2,231","2,819","3,074","3,455",3842,4013,"4,122"
18,금천구,990,"1,090","1,181","1,563","1,894","2,247",2276,2498,"2,730"
19,영등포구,904,"1,140","1,429","2,055","2,093","3,250",3508,3896,"3,964"
20,동작구,961,"1,200","1,471","1,690","1,904","2,155",2181,2404,"2,402"
21,관악구,"1,496","2,048","2,611","3,247","3,800","4,071",3390,4029,"4,245"
22,서초구,"1,548","1,785","2,169","2,582","2,938","3,175",3442,3180,"3,180 "
23,강남구,"2,319","3,447","4,232","4,834","5,459","5,796",6143,6495,"6,495"
24,송파구,713,798,913,"1,364","2,052","2,372",2520,2805,"2,821"
25,강동구,670,863,"1,134","1,596","1,871","2,475",2720,3086,"3,088"
